marz_en,marz_iso,community_hy,civil_contract,strong_armenia,armenia_alliance,prosperous_armenia,wings_of_unity,meritocratic,democracy_law_discipline,new_power,against_all,hanrapetutyun,bright_armenia,for_the_republic,national_democratic_pole,democratic_consolidation,anc,christian_democratic,kochari,reformists,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,757,136,75,186,7,0,3,0,2,1,3,0,1,4,0,0,0,0,2761,1189,13,1175,11,43.06
Aragatsotn,AM-AG,Աշտարակ,19468,7313,3530,815,353,574,510,349,315,446,124,78,110,72,57,46,27,34,56973,34530,329,34221,48,60.61
Aragatsotn,AM-AG,Ապարան,6942,2332,768,842,156,147,129,80,107,185,36,45,27,43,24,10,9,10,18250,12014,123,11892,25,65.83
Aragatsotn,AM-AG,Արեվուտ,165,51,28,14,1,0,0,0,0,0,1,0,0,0,0,1,0,0,521,263,2,261,6,50.48
Aragatsotn,AM-AG,Թալին,10696,3141,1620,802,173,169,202,92,187,102,47,31,34,38,29,25,21,15,27352,17638,210,17424,39,64.49
Aragatsotn,AM-AG,Ծաղկահովիտ,2529,608,241,439,37,27,34,31,37,16,10,13,6,8,1,3,1,7,7036,4083,35,4048,10,58.03
Aragatsotn,AM-AG,Մեծաձոր,63,6,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,145,75,0,75,2,51.72
Aragatsotn,AM-AG,Շամիրամ,154,21,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,505,183,2,181,1,36.24
Ararat,AM-AR,Արարատ,10337,2712,1028,2649,194,254,292,175,177,663,65,109,48,47,19,20,26,23,30589,19019,177,18838,22,62.18
Ararat,AM-AR,Արտաշատ,27642,7863,4354,1647,553,616,820,517,390,253,204,124,127,80,39,67,70,32,80027,46726,505,45398,60,58.39
Ararat,AM-AR,Մասիս,20511,10079,4277,1806,571,671,754,562,391,295,104,100,126,85,64,52,46,43,69539,40903,371,40537,44,58.82
Ararat,AM-AR,Վեդի,13859,4401,1638,2008,282,325,340,218,216,177,75,74,71,48,19,29,16,13,38597,24131,317,23809,28,62.52
Ararat,AM-AR,Վերին Դվին,287,83,129,367,1,4,4,2,3,1,3,1,2,1,0,0,1,2,1616,908,23,891,1,56.19
Armavir,AM-AV,Արաքս,6451,2215,1131,240,176,160,194,102,97,67,42,27,22,39,11,15,7,8,19819,11104,103,11004,16,56.03
Armavir,AM-AV,Արմավիր,16000,5126,2045,991,345,337,417,231,206,162,89,58,91,57,41,47,29,29,47265,26580,275,26301,29,56.24
Armavir,AM-AV,Բաղրամյան,4220,1586,882,273,79,70,89,39,44,45,26,19,17,9,5,8,7,5,12672,7497,73,7423,16,59.16
Armavir,AM-AV,Մեծամոր,17657,6984,2188,1399,432,260,791,248,205,177,117,69,50,72,35,34,33,35,55619,31053,254,30786,43,55.83
Armavir,AM-AV,Վաղարշապատ,18933,9969,4044,874,513,665,697,498,479,211,117,138,90,94,58,72,62,52,69588,37984,409,37566,48,54.58
Armavir,AM-AV,Փարաքար,6233,2968,1008,314,156,179,214,185,151,83,63,55,69,47,13,28,13,14,21258,11913,117,11793,16,56.04
Armavir,AM-AV,Ֆերիկ,87,22,10,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,251,128,3,125,1,51.0
Gegharkunik,AM-GR,Գավառ,11983,5111,1277,1265,489,268,315,146,182,126,80,57,42,65,23,28,18,16,42937,21765,253,21491,30,50.69
Gegharkunik,AM-GR,Ճամբարակ,3546,1677,845,600,128,179,69,62,93,52,49,31,17,12,14,9,6,7,11491,7485,88,7396,19,65.14
Gegharkunik,AM-GR,Մարտունի,18898,4494,2117,1734,1423,277,319,175,154,186,111,65,132,89,56,22,20,17,62164,30645,373,30289,41,49.3
Gegharkunik,AM-GR,Սեվան,10166,4278,2732,326,430,296,283,196,176,181,59,56,78,34,27,30,23,15,32267,19597,203,19386,24,60.73
Gegharkunik,AM-GR,Վարդենիս,9727,2968,1897,1798,159,111,107,117,114,286,52,63,23,19,10,12,13,10,29334,17735,249,17486,39,60.46
Kotayk,AM-KT,Աբովյան,16561,7494,4100,6552,702,872,660,577,608,314,151,181,129,95,66,78,71,30,65919,39687,435,39241,42,60.21
Kotayk,AM-KT,Ակունք,2395,1007,256,884,54,63,63,36,28,17,21,23,22,10,9,9,1,2,7312,4942,42,4900,8,67.59
Kotayk,AM-KT,Արզնի,538,352,220,93,15,14,18,7,14,10,6,2,3,1,0,2,1,1,2335,1312,15,1297,2,56.19
Kotayk,AM-KT,Բյուրեղավան,2487,1553,645,313,91,83,86,69,46,32,22,17,18,18,5,10,4,3,9075,5585,84,5502,6,61.54
Kotayk,AM-KT,Գառնի,3674,1114,383,647,80,123,74,55,44,24,15,16,7,13,7,13,5,2,9884,6394,96,6296,9,64.69
Kotayk,AM-KT,Ծաղկաձոր,2056,837,377,234,32,17,38,18,43,9,17,3,10,7,7,4,4,3,5552,3750,34,3716,7,67.54
Kotayk,AM-KT,Հրազդան,13632,7671,3632,1390,503,477,504,382,383,154,114,76,76,60,165,61,47,30,48071,29731,373,29357,34,61.85
Kotayk,AM-KT,Նաիրի,9789,3769,1977,662,394,404,259,289,249,163,54,76,43,61,21,26,30,16,30443,18521,239,18282,19,60.84
Kotayk,AM-KT,Նոր Հաճըն,7170,3228,1777,944,270,293,280,271,254,291,64,59,83,59,15,44,16,31,24762,15397,236,15149,17,62.18
Kotayk,AM-KT,Չարենցավան,8454,3615,2363,705,432,323,304,251,176,132,65,49,74,68,25,32,38,20,28279,17346,215,17126,19,61.34
Kotayk,AM-KT,Ջրվեժ,2783,957,506,381,113,210,100,102,67,44,18,15,16,21,6,10,9,2,9040,5417,57,5360,6,59.92
Lori,AM-LO,Ալավերդի,10355,5715,609,400,203,212,219,108,139,109,97,42,68,45,115,18,9,21,30362,18713,222,18484,42,61.63
Lori,AM-LO,Գյուլագարակ,1816,1840,172,101,39,38,36,17,36,10,23,4,5,5,3,4,2,1,6413,4194,41,4152,7,65.4
Lori,AM-LO,Թումանյան,1883,839,100,218,28,13,27,8,27,21,24,6,7,8,2,2,1,1,5046,3274,59,3215,9,64.88
Lori,AM-LO,Լերմոնտովո,84,112,39,12,2,2,4,0,1,0,1,0,0,1,1,0,0,0,685,266,6,259,2,38.83
Lori,AM-LO,Լոռի Բերդ,1507,802,66,92,18,16,20,10,17,11,10,5,5,5,1,0,4,3,4063,2619,26,2592,9,64.46
Lori,AM-LO,Սպիտակ,9101,4701,1291,793,219,163,194,84,128,89,73,63,67,45,6,15,14,11,30231,17266,199,17057,31,57.11
Lori,AM-LO,Ստեփանավան,3201,3207,330,213,73,126,81,72,71,31,21,14,21,15,8,9,5,6,13084,7581,75,7504,13,57.94
Lori,AM-LO,Վանաձոր,26804,14598,3169,1584,1199,1106,937,700,689,558,775,163,216,254,106,100,52,55,93875,53769,704,53065,64,57.28
Lori,AM-LO,Տաշիր,2500,8091,134,42,34,45,42,21,33,19,18,8,8,10,2,2,1,4,19087,11110,93,11014,27,58.21
Lori,AM-LO,Փամբակ,3605,1177,220,402,103,53,80,39,62,42,36,9,13,19,13,5,4,7,9827,5948,57,5889,16,60.53
Lori,AM-LO,Ֆիոլետովո,17,71,7,47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,804,144,0,144,1,17.91
Shirak,AM-SH,Ախուրյան,11765,3711,871,792,206,155,231,84,132,84,52,65,55,44,21,17,13,15,31572,18504,196,18313,38,58.61
Shirak,AM-SH,Ամասիա,1746,788,317,110,27,20,23,16,17,5,7,7,1,2,1,4,1,6,5842,3139,38,3098,19,53.73
Shirak,AM-SH,Անի,5600,2297,596,362,95,70,117,61,86,56,28,38,9,19,16,9,4,8,15964,9602,133,9471,20,60.15
Shirak,AM-SH,Աշոցք,2800,831,361,363,53,29,36,23,41,27,17,9,9,9,15,6,4,2,9033,4695,60,4635,26,51.98
Shirak,AM-SH,Արթիկ,13887,4277,1510,479,223,250,271,118,170,301,66,840,89,56,44,21,34,6,37125,22852,210,22642,35,61.55
Shirak,AM-SH,Գյումրի,28053,14761,4523,2234,847,1025,946,519,849,413,291,204,257,277,95,90,54,59,108356,56453,941,55497,82,52.1
Syunik,AM-SU,Գորիս,6981,3657,1404,570,355,241,198,139,185,87,293,40,44,50,5,12,13,24,22861,14487,180,14298,19,63.37
Syunik,AM-SU,Կապան,10680,3712,2102,619,4086,340,285,181,249,149,55,63,46,206,21,22,47,22,34014,23166,276,22885,52,68.11
Syunik,AM-SU,Մեղրի,2727,1675,204,161,70,141,86,47,69,210,19,29,30,19,11,13,9,5,10000,6910,69,5525,16,69.1
Syunik,AM-SU,Սիսիան,9082,3192,2279,415,132,173,151,122,155,68,60,82,53,51,39,20,19,18,24914,16282,183,16111,41,65.35
Syunik,AM-SU,Տաթև,1593,490,271,67,77,24,14,13,15,10,32,8,7,5,3,3,3,4,4281,2662,23,2639,8,62.18
Syunik,AM-SU,Տեղ,1703,862,318,94,55,42,28,34,32,10,17,10,3,8,6,2,2,5,4693,3290,57,3231,7,70.1
Syunik,AM-SU,Քաջարան,2716,685,622,80,173,59,66,40,69,41,17,15,23,22,9,11,3,4,6355,4717,62,4655,8,74.23
Tavush,AM-TV,Բերդ,7888,3663,1253,507,152,136,219,111,147,70,44,39,42,38,25,5,24,12,23889,14529,149,14375,21,60.82
Tavush,AM-TV,Դիլիջան,6052,2517,774,633,528,272,197,97,98,189,39,26,24,16,7,20,17,8,19451,11653,139,11514,18,59.91
Tavush,AM-TV,Իջեվան,16078,3354,1500,589,567,207,175,111,199,66,73,49,36,41,17,20,8,18,35102,23363,251,23108,30,66.56
Tavush,AM-TV,Նոյեմբերյան,8738,3917,1062,493,177,252,201,149,172,213,315,25,32,48,19,18,24,11,25025,16012,144,15866,25,63.98
Vayots Dzor,AM-VD,Արենի,3591,963,441,224,83,119,97,43,81,49,20,36,37,9,9,9,8,3,8500,5902,78,5822,9,69.44
Vayots Dzor,AM-VD,Եղեգիս,1804,701,256,103,40,37,34,18,14,14,10,6,6,4,1,0,2,2,4630,3078,26,3052,12,66.48
Vayots Dzor,AM-VD,Եղեգնաձոր,4751,1884,649,682,110,146,154,94,118,81,33,31,12,25,4,13,3,5,14940,8910,112,8795,9,59.64
Vayots Dzor,AM-VD,Ջերմուկ,2911,652,285,84,48,65,62,44,64,23,14,17,8,17,5,85,8,8,6675,4462,59,4400,5,66.85
Vayots Dzor,AM-VD,Վայք,4209,1432,563,176,61,51,75,38,60,63,24,16,26,27,7,9,10,8,9908,6939,82,6855,18,70.03
Yerevan,AM-ER,Աջափնյակ,21474,12298,6052,986,1348,1683,1191,1686,1163,734,269,339,245,236,161,124,110,55,85640,50741,512,50154,52,59.25
Yerevan,AM-ER,Ավան,9433,6758,3223,603,799,856,521,838,613,337,129,151,171,205,58,81,44,23,40644,25107,262,24843,23,61.77
Yerevan,AM-ER,Արաբկիր,20307,15416,8504,837,2039,2299,1117,1893,1629,887,385,420,373,328,282,126,120,64,96839,57646,611,57026,54,59.53
Yerevan,AM-ER,Դավթաշեն,8911,5165,2564,508,624,746,441,662,524,379,123,141,124,94,70,39,37,20,35411,21406,213,21172,19,60.45
Yerevan,AM-ER,Էրեբունի,23336,11501,5849,926,1098,1450,1412,1684,939,752,284,270,240,263,125,130,106,50,91631,50938,492,50415,51,55.59
Yerevan,AM-ER,Կենտրոն,19718,14557,8510,1027,1918,1811,1151,1718,1394,1220,284,344,281,266,275,107,105,54,96127,55289,532,54740,55,57.52
Yerevan,AM-ER,Մալաթիա-Սեբաստիա,28586,14353,7214,1195,1539,1863,1435,2030,1283,1093,344,324,294,273,182,156,106,79,110182,62979,573,62349,60,57.16
Yerevan,AM-ER,Նոր Նորք,23144,15228,7690,1287,1930,2234,1413,2112,1498,854,366,405,285,349,146,153,95,65,100368,59931,632,59254,57,59.71
Yerevan,AM-ER,Նորք-Մարաշ,2768,1944,628,130,157,197,183,206,104,61,38,36,42,9,25,15,5,20,10966,6635,67,6568,6,60.51
Yerevan,AM-ER,Նուբարաշեն,2250,1096,474,280,90,98,114,112,64,78,28,19,19,12,13,11,12,4,10109,6091,44,4774,6,60.25
Yerevan,AM-ER,Շենգավիթ,29497,14193,7484,1807,1506,2001,1702,2168,1232,936,332,396,313,278,174,205,114,67,113847,65110,661,64405,63,57.19
Yerevan,AM-ER,Քանաքեռ-Զեյթուն,13987,8569,4379,756,1048,1302,801,1196,870,448,227,207,171,178,124,113,56,35,58797,34765,306,34467,32,59.13
